population_count,area_id
1942,1
33073,2
5984,3
7,4
14153,5
30613,6
18136,7
8646,8
21097,9
17316,10
19201,11
23737,12
14013,13
22393,14
27666,15
38131,16
20970,17
18645,18
36119,19
33267,20
24487,21
5146,22
5533,23
9973,24
2452,25
726,26
32920,27
30270,28
572,29
3,30
16,31
10608,32
47024,33
205895,34
282541,35
15293,36
56190,37
77284,38
652,39
45877,40
13839,41
45773,42
73448,43
131,44
17239,45
34660,46
22984,47
5210,48
28794,49
360,50
28612,51
96660,52
79702,53
3,54
50255,55
26450,56
40768,57
53862,58
13859,59
142145,60
51486,61
112548,62
40878,63
462,64
15902,65
1084,66
738,67
5,68
1336,69
24,70
257,71
112,72
10,73
1195,74
198,75
5173,76
11961,77
1475,78
35,79
27306,80
57408,81
114,82
235,83
17349,84
11733,85
9295,86
11724,87
10156,88
13,89
515,90
741,91
68023,92
58525,93
20250,94
32256,95
64370,96
41785,97
47335,98
764,99
54498,100
2041,101
1883,102
8,103
2858,104
10169,105
7581,106
25,107
119,108
48,109
8,110
860,111
508,112
6,113
62,114
2669,115
114897,116
25829,117
7,118
96,119
94,120
83,121
27,122
407,123
8770,124
250676,125
173538,126
2616,127
19016,128
21160,129
19253,130
271168,131
32980,132
48262,133
60810,134
45884,135
176,136
34317,137
445,138
67611,139
70,140
1487,141
59007,142
86,143
1257,144
49082,145
35025,146
39545,147
40356,148
1056,149
3177,150
88904,151
3415,152
5426,153
10085,154
2501,155
54,156
1040,157
4578,158
